category,work,variant,product_id,store_sku,provider,provider_sku,size,paper,border,edition_size,price_eur,availability,fulfilment_mode,notes
Dream Edition,AtaquaS,Dream Edition,ataquas-open,ATQ-LPP-30X45,Prodigi,GLOBAL-PAP-12X18,"30 × 45 cm / 12 × 18 in","Lustre Photo Paper (LPP), 240 gsm",None,Open,30,Live,prodigi-live,"Live destination quote; manual fulfilment after Wise payout"
Dream Edition,EclaircissE,Dream Edition,eclaircisse-open,ECL-LPP-40X50,Prodigi,GLOBAL-PAP-16X20,"40 × 50 cm / 16 × 20 in","Lustre Photo Paper (LPP), 240 gsm",None,Open,35,Live,prodigi-live,"Live destination quote; manual fulfilment after Wise payout"
Dream Edition,Öppiä,Dream Edition,oppia-open,OPP-PENDING,Prodigi,,"Final landscape dimensions in development","Lustre Photo Paper (LPP), 240 gsm",None,Open,,Available soon,unavailable,"Preview only; final artwork and SKU pending"
Dream Edition,IndepenDienta,Dream Edition,independienta-open,IND-PENDING,Prodigi,,"Final landscape dimensions in development","Lustre Photo Paper (LPP), 240 gsm",None,Open,,Available soon,unavailable,"Preview only; final artwork and SKU pending"
Collector Edition,K.aisa.R,Presence,kaisar-presence,KSR-PRL-PRESENCE-60X90,"Creativehub / theprintspace",V-XL076PZL,"60 × 90 cm / 24 × 35 in","Hahnemühle Pearl, 285 gsm Giclée",None,5,250,Live,configured-fixed,"Clean CoA; letter included; unframed; customer pays shipping"
Collector Edition,K.aisa.R,Immersion,kaisar-immersion,KSR-PRL-IMMERSION-80X120,"Creativehub / theprintspace",V-Y6L6H5YT,"80 × 120 cm / 31 × 47 in","Hahnemühle Pearl, 285 gsm Giclée",None,5,350,Live,configured-fixed,"Clean CoA; letter included; unframed; customer pays shipping"
Collector Edition,Mèranö,Reverie,merano-reverie,MER-PRL-REVERIE-60X75,"Creativehub / theprintspace",V-GDH2VKCH,"50 × 40 cm / 20 × 16 in","Hahnemühle Pearl, 285 gsm Giclée","25 mm white",10,150,Live,configured-fixed,"Legacy Store SKU dimension retained; public size authoritative; Clean CoA; letter included; unframed"
Collector Edition,Ràábta,Veil,raabta-veil,RBT-PRL-VEIL-40X50,"Creativehub / theprintspace",V-K5SCKYN3,"75 × 60 cm / 30 × 24 in","Hahnemühle Pearl, 285 gsm Giclée","25 mm white",10,200,Live,configured-fixed,"Legacy Store SKU dimension retained; public size authoritative; Clean CoA; letter included; unframed"
Book,NiNE,Standard Edition,,,Mixam,,"A4 Europe / Letter Americas","Hardcover print on demand",,Open,,Live,external-mixam,"Existing worldwide Mixam purchase route"
Book,NiNE,Premium Edition,,,Saal Digital,,"Existing premium configuration","Premium photo book",,Not publicly capped,,Pending,research-required,"Same premium version; two personal/gift copies only; commercial route and margin to verify"
Original Artwork,DusaEmas,Unique Original,,,,,"Approx. 40 × 30 cm framed","Original artwork in solid wood frame with real glass",,1,200,Acquisition opening soon,carrier-pending,"Automated insured delivery pending DHL integration"
Original Artwork,Gold,Unique Original,,,,,"Approx. 40 × 30 cm framed","Original artwork in solid wood frame with real glass",,1,200,Acquisition opening soon,carrier-pending,"Automated insured delivery pending DHL integration"
Original Artwork,Study,Unique Original,,,,,"Approx. 40 × 30 cm framed","Original artwork in solid wood frame with real glass",,1,200,Acquisition opening soon,carrier-pending,"Automated insured delivery pending DHL integration"
Original Artwork,Untitled,Unique Original,,,,,"Approx. 40 × 30 cm framed","Original artwork in solid wood frame with real glass",,1,200,Acquisition opening soon,carrier-pending,"Automated insured delivery pending DHL integration"
